
S. NO.	STATE NAME	NAME OF DISTRICTS	
1	Andhra Pradesh	Anantapur, Chittoor, Cuddapah, East Godavari, Guntur, Krishna, Kurnool, Nellore, Prakasam, Srikakulam, Visakhapatnam, Vizianagaram, West Godavari	
2	Arunachal Pradesh	Anjaw, Changlang, Dibang Valley, East Kameng, East Siang, Kurung Kumey, Lohit, Lower Dibang Valley, Lower Subansiri, Papum Pare, Tawang, Tirap, Upper Siang, Upper     Subansiri, West Kameng, West Siang	
3	Assam	Baksa, Barpeta, Bongaigaon, Cachar, Chirang, Darrang, Dhemaji, Dhubri, Dibrugarh, Dima Hasao, Goalpara, Golaghat, Hailakandi, Jorhat, Kamrup, Kamrup Metropolitan, Karbi Anglong, Karimganj, Kokrajhar, Lakhimpur, Marigaon, Nagaon, Nalbari, Sibsagar, Sonitpur, Tinsukia, Udalguri	
4	Bihar	Araria, Arwal, Aurangabad, Banka, Begusarai, Bhagalpur, Bhojpur, Buxar, Darbhanga, Gaya, Gopalganj, Jamui, Jehanabad, Kaimur, Katihar, Khagaria, Kishanganj, Lakhisarai, Madhepura, Madhubani, Munger, Muzaffarpur, Nalanda, Nawada, Pashchim Champaran, Patna, Purba Champaran, Purnia, Rohtas, Saharsa, Samastipur, Saran, Sheikhpura, Sheohar, Sitamarhi, Siwan, Supaul, Vaishali	
5	Chandigarh	Chandigarh	
6	Chhattisgarh	Bastar, Bijapur, Bilaspur, Dakshin Bastar Dantewada, Dhamtari, Durg, Janjgir Champa, Jashpur, Kabeerdham, Korba, Koriya, Mahasamund, Narayanpur, Raigarh, Raipur, Rajnandgaon, Surguja, Uttar Bastar Kanker	
7	Goa	North Goa, South Goa	
8	Gujarat	Ahmadabad, Amreli, Anand, Banas Kantha, Bharuch, Bhavnagar, Dohad, Gandhinagar, Jamnagar, Junagadh, Kachchh, Kheda, Mahesana, Narmada, Navsari, Panch Mahals, Patan, Porbandar, Rajkot, Sabar Kantha, Surat, Surendranagar, Tapi, The Dangs, Vadodara, Valsad	
9	Haryana	Ambala, Bhiwani, Faridabad, Fatehabad, Gurgaon, Hisar, Jhajjar, Jind, Kaithal, Karnal, Kurukshetra, Mahendragarh, Mewat, Palwal, Panchkula, Panipat, Rewari, Rohtak, Sirsa, Sonipat, Yamunanagar	
10	Himachal Pradesh	Bilaspur, Chamba, Hamirpur, Kangra, Kinnaur, Kullu, Lahul and Spiti, Mandi, Shimla, Sirmaur, Solan, Una	
11	Jammu And Kashmir	Anantanag, Badgam, Bandipore, Baramula, Doda, Ganderbal, Jammu, Kargil, Kathua, Kishtwar, Kulgam, Kupwara, Leh, Pulwama, Punch, Rajauri, Ramban, Reasi, Samba, Shupiyan, Srinagar, Udhampur	
12	Jharkhand	Bokaro, Chatra, Deoghar, Dhanbad, Dumka, Garhwa, Giridih, Godda, Gumla, Hazaribagh, Jamtara, Khunti, Kodarma, Latehar, Lohardaga, Pakur, Palamu, Pashchimi Singhbhum, Purbi Singhbhum, Ramgarh, Ranchi, Sahibganj, Saraikella Kharsawan, Simdega	
13	Karnataka	Bagalkot, Bangalore, Bangalore Rural, Belgaum, Bellary, Bidar, Bijapur, Chamarajanagar, Chikkaballapura, Chikmagalur, Chitradurga, Dakshina Kannada, Davanagere, Dharwad, Gadag, Gulbarga, Hassan, Haveri, Kodagu, Kolar, Koppal, Mandya, Mysore, Raichur, Ramanagara, Shimoga, Tumkur, Udupi, Uttara Kannada, Yadgir	
14	Kerala	Alappuzha, Ernakulam, Idukki, Kannur, Kasaragod, Kollam, Kottayam, Kozhikode, Malappuram, Palakkad, Pathanamthitta, Thiruvananthapuram, Thrissur, Wayanad	
15	Madhya Pradesh	Alirajpur, Anuppur, Ashoknagar, Balaghat, Barwani, Betul, Bhind, Bhopal, Burhanpur, Chhatarpur, Chhindwara, Damoh, Datia, Dewas, Dhar, Dindori, East Nimar, Guna, Gwalior, Harda, Hoshangabad, Indore, Jabalpur, Jhabua, Katni, Mandla, Mandsaur, Morena, Narsimhapur, Neemuch, Panna, Raisen, Rajgarh, Ratlam, Rewa, Sagar, Satna, Sehore, Seoni, Shahdol, Shajapur, Sheopur, Shivpuri, Sidhi, Singrauli, Tikamgarh, Ujjain, Umaria, Vidisha, West Nimar	
16	Maharashtra	Ahmadnagar, Akola, Amravati, Aurangabad, Bhandara, Bid, Buldana, Chandrapur, Dhule, Gadchiroli, Gondiya, Hingoli, Jalgaon, Jalna, Kolhapur, Latur, Mumbai, Mumbai (Suburban), Nagpur, Nanded, Nandurbar, Nashik, Osmanabad, Parbhani, Pune, Raigarh, Ratnagiri, Sangli, Satara, Sindhudurg, Solapur, Thane, Wardha, Washim, Yavatmal	
17	Manipur	Bishnupur, Chandel, Churachandpur, Imphal East, Imphal West, Senapati, Tamenglong, Thoubal, Ukhrul	
18	Meghalaya	East Garo Hills, East Khasi Hills, Jaintia Hills, Ri Bhoi, South Garo Hills, West Garo Hills, West Khasi Hills	
19	Mizoram	Aizawl, Champhai, Kolasib, Lawngtlai, Lunglei, Mamit, Saiha, Serchhip	
20	Nagaland	Dimapur, Kiphire, Kohima, Longleng, Mokokchung, Mon, Peren, Phek, Tuensang, Wokha, Zunheboto	
21	Odisha	Anugul, Balangir, Baleshwar, Bargarh, Baudh, Bhadrak, Cuttack, Debagarh, Dhenkanal, Gajapati, Ganjam, Jagatsinghapur, Jajapur, Jharsuguda, Kalahandi, Kandhamal, Kendrapara, Kendujhar, Khordha, Koraput, Malkangiri, Mayurbhanj, Nabarangapur, Nayagarh, Nuapada, Puri, Rayagada, Sambalpur, Subarnapur, Sundargarh	
22	Punjab	Amritsar, Barnala, Bathinda, Faridkot, Fatehgarh Sahib, Firozpur, Gurdaspur, Hoshiarpur, Jalandhar, Kapurthala, Ludhiana, Mansa, Moga, Muktsar, Patiala, Rupnagar, Sahibzada Ajit Singh Nagar, Sangrur, Shahid Bhagat Singh Nagar, Tarn Taran	
23	Rajasthan	Ajmer, Alwar, Banswara, Baran, Barmer, Bharatpur, Bhilwara, Bikaner, Bundi, Chittaurgarh, Churu, Dausa, Dhaulpur, Dungarpur, Ganganagar, Hanumangarh, Jaipur, Jaisalmer, Jalor, Jhalawar, Jhunjhunun, Jodhpur, Karauli, Kota, Nagaur, Pali, Pratapgarh, Rajsamand, Sawai Madhopur, Sikar, Sirohi, Tonk, Udaipur	
24	Sikkim	East, North, South, West	
25	Tamil Nadu	Ariyalur, Chennai, Coimbatore, Cuddalore, Dharmapuri, Dindigul, Erode, Kancheepuram, Kanniyakumari, Karur, Krishnagiri, Madurai, Nagapattinam, Namakkal, Perambalur, Pudukkottai, Ramanathapuram, Salem, Sivaganga, Thanjavur, The Nilgiris, Theni, Thiruvallur, Thiruvarur, Tiruchirappalli, Tirunelveli, Tiruppur, Tiruvanamalai, Toothukudi, Vellore, Viluppuram, Virudhunagar	
26	Telangana	Adilabad, Hyderabad, Karimnagar, Khammam, Mahbubnagar, Medak, Nalgonda, Nizamabad, Rangareddi, Warangal	
27	Tripura	Dhalai, North Tripura, South Tripura, West Tripura	
